Date,Code,Next_Ret,Next_Ret_Rank,Above_Quarter_Median,model,model_label,prediction,predicted_rank,weight,top_n,weight_method,power,weight_cap,turnover,portfolio_label
2022-06-30,600387,0.2605,0.4667996245893946,1,linear_regression,线性回归,0.1461036647597378,5,0.05591397849462366,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002358,0.0262,0.3413890192397935,1,linear_regression,线性回归,0.1453048641415031,6,0.053763440860215055,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,603586,0.0372,0.3568747067104646,1,linear_regression,线性回归,0.1439029801082144,7,0.05161290322580645,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002478,0.1623,0.4382918817456593,1,linear_regression,线性回归,0.1422459617217218,8,0.04946236559139785,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002193,0.0388,0.3591037071797278,1,linear_regression,线性回归,0.1422033337099564,9,0.047311827956989246,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002699,-0.0579,0.1952135147817926,1,linear_regression,线性回归,0.1409691129082099,10,0.04516129032258064,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,603003,-0.1089,0.0333176912247771,1,linear_regression,线性回归,0.1398356927385719,11,0.043010752688172046,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,300533,-0.0053,0.3019709056780854,1,linear_regression,线性回归,0.1378624241999257,12,0.04086021505376344,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,600780,0.019,0.335523228531206,1,linear_regression,线性回归,0.1372672776646883,13,0.03870967741935484,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,603086,0.4536,0.4868606288127639,1,linear_regression,线性回归,0.1364033810122095,14,0.03655913978494624,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,600565,-0.0345,0.2450727358047865,1,linear_regression,线性回归,0.1351119930477531,15,0.034408602150537634,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,000726,0.0406,0.3606288127639605,1,linear_regression,线性回归,0.1325782908344883,16,0.03225806451612903,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,000543,0.1228,0.4222196152041295,1,linear_regression,线性回归,0.1316847938446109,17,0.030107526881720432,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,605088,0.1231,0.4225715626466447,1,linear_regression,线性回归,0.1311419264323716,18,0.02795698924731183,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002661,-0.015,0.2866025340215861,1,linear_regression,线性回归,0.1311184996997279,19,0.025806451612903226,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,003042,-0.1478,-0.112740497419052,0,linear_regression,线性回归,0.1309361233054046,20,0.023655913978494623,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002871,0.264,0.4682074143594557,1,linear_regression,线性回归,0.1307810935369631,21,0.021505376344086023,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,000616,0.0267,0.3418582824964805,1,linear_regression,线性回归,0.1305182166164229,22,0.01935483870967742,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002856,0.0499,0.3700140778977006,1,linear_regression,线性回归,0.1298739807830481,23,0.017204301075268817,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,300495,0.2984,0.4736039418113561,1,linear_regression,线性回归,0.1297213660115232,24,0.015053763440860216,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,000159,0.1672,0.4394650398873768,1,linear_regression,线性回归,0.1289719347988359,25,0.012903225806451613,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,000892,-0.0532,0.2057719380572501,1,linear_regression,线性回归,0.1288891998677952,26,0.010752688172043012,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,603585,-0.0396,0.2353355232285312,1,linear_regression,线性回归,0.127804211128259,27,0.008602150537634409,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002869,0.2487,0.4629282027217268,1,linear_regression,线性回归,0.1267610788626721,28,0.0064516129032258064,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,002718,-0.024,0.269239793524167,1,linear_regression,线性回归,0.1259510614607515,29,0.004301075268817204,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2022-06-30,603329,0.038,0.3578132332238386,1,linear_regression,线性回归,0.1258770731266539,30,0.002150537634408602,30,rank_pw,1.0,0.1,0.6322580645161292,PW_Top30
2021-12-31,000573,0.3774,0.4718427989456026,1,linear_regression,线性回归,0.1626611252858809,1,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,000637,0.0725,0.3490294751976994,1,linear_regression,线性回归,0.1565433648937947,2,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002774,0.1905,0.4297867241792475,1,linear_regression,线性回归,0.1497148087716857,3,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002160,-0.0799,0.0962137550922597,1,linear_regression,线性回归,0.1434661912308211,4,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002615,-0.0358,0.1902707884016294,1,linear_regression,线性回归,0.14091064165657,5,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,603095,0.0123,0.2725856697819314,1,linear_regression,线性回归,0.136931675882281,6,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002188,0.6538,0.4906542056074766,1,linear_regression,线性回归,0.1367792849587743,7,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002722,-0.0544,0.1513299784327821,1,linear_regression,线性回归,0.1358131148889794,8,0.08000000000000002,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002574,0.0366,0.3058950395398994,1,linear_regression,线性回归,0.1347390515802945,9,0.07975384615384616,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,300609,-0.0201,0.2216630721303618,1,linear_regression,线性回归,0.1341853863568192,10,0.06701538461538462,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002910,0.1536,0.4103762281332375,1,linear_regression,线性回归,0.132809565150651,11,0.05538461538461539,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,601518,0.0185,0.2821710999281093,1,linear_regression,线性回归,0.1324706171396555,12,0.04486153846153847,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,600569,0.0535,0.3271028037383178,1,linear_regression,线性回归,0.1321044496659226,13,0.03544615384615385,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,000726,-0.0093,0.2404744787922358,1,linear_regression,线性回归,0.131527598665136,14,0.027138461538461542,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,000965,2.2885,0.4990414569853822,1,linear_regression,线性回归,0.1302883116846195,15,0.01993846153846154,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,000521,0.0109,0.270189312245387,1,linear_regression,线性回归,0.1301621916210564,16,0.013846153846153848,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,002345,-0.147,-0.073208722741433,0,linear_regression,线性回归,0.1300329527398889,17,0.008861538461538462,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,300240,-0.1233,-0.0088665228852145,0,linear_regression,线性回归,0.1297327139558616,18,0.004984615384615385,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,000761,0.0262,0.2931943445962137,1,linear_regression,线性回归,0.1286535531391652,19,0.0022153846153846156,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2021-12-31,603196,-0.0501,0.1618739515935777,1,linear_regression,线性回归,0.1271671230924703,20,0.0005538461538461539,20,rank_pw,2.0,0.08,1.0,Validation_Selected
2022-03-31,002783,0.0765,0.2196073793755912,1,linear_regression,线性回归,0.1727260367245533,1,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,300533,0.538,0.4841532639545884,1,linear_regression,线性回归,0.1554182629943184,2,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,600780,0.3952,0.4642857142857143,1,linear_regression,线性回归,0.1500135720456546,3,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,600387,0.016,0.0870387890255439,1,linear_regression,线性回归,0.1497507620904293,4,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,000525,0.8162,0.4947965941343425,1,linear_regression,线性回归,0.149250155839763,5,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,603086,0.3559,0.4548249763481551,1,linear_regression,线性回归,0.1491723994645017,6,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002343,0.1595,0.3394039735099338,1,linear_regression,线性回归,0.1472365498166001,7,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,000404,0.129,0.3019157994323557,1,linear_regression,线性回归,0.1466778035079199,8,0.08000000000000002,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002478,0.0198,0.1005203405865657,1,linear_regression,线性回归,0.1448532121966259,9,0.07975384615384616,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002328,0.1858,0.3651844843897823,1,linear_regression,线性回归,0.1444253167324713,10,0.06701538461538462,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,600287,-0.0496,-0.0929517502365184,0,linear_regression,线性回归,0.1442590039107208,11,0.05538461538461539,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002718,0.0449,0.1563386944181646,1,linear_regression,线性回归,0.1424916890030717,12,0.04486153846153847,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,603585,0.1443,0.3195364238410596,1,linear_regression,线性回归,0.1420297612538131,13,0.03544615384615385,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002133,-0.1499,-0.3528855250709555,0,linear_regression,线性回归,0.1416503616612777,14,0.027138461538461542,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,000726,0.1299,0.3025070955534531,1,linear_regression,线性回归,0.1399742536865487,15,0.01993846153846154,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,600508,0.777,0.4940870387890255,1,linear_regression,线性回归,0.1391959334215481,16,0.013846153846153848,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,002365,0.2283,0.397232734153264,1,linear_regression,线性回归,0.1372047792905451,17,0.008861538461538462,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,603586,0.1515,0.3285241248817407,1,linear_regression,线性回归,0.1368926931419842,18,0.004984615384615385,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,603928,0.1765,0.3550141911069063,1,linear_regression,线性回归,0.1367474144249373,19,0.0022153846153846156,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-03-31,600449,-0.0967,-0.2315515610217597,0,linear_regression,线性回归,0.1363435076870458,20,0.0005538461538461539,20,rank_pw,2.0,0.08,0.9800615384615388,Validation_Selected
2022-06-30,300105,0.0191,0.335992491787893,1,linear_regression,线性回归,0.1749078590443794,1,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,000806,-0.0622,0.1824260910370717,1,linear_regression,线性回归,0.1559923721101271,2,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002696,0.0136,0.3289535429375879,1,linear_regression,线性回归,0.1558594707828492,3,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,600287,-0.0241,0.2688878460816518,1,linear_regression,线性回归,0.1469955488956183,4,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,600387,0.2605,0.4667996245893946,1,linear_regression,线性回归,0.1461036647597378,5,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002358,0.0262,0.3413890192397935,1,linear_regression,线性回归,0.1453048641415031,6,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,603586,0.0372,0.3568747067104646,1,linear_regression,线性回归,0.1439029801082144,7,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002478,0.1623,0.4382918817456593,1,linear_regression,线性回归,0.1422459617217218,8,0.08000000000000002,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002193,0.0388,0.3591037071797278,1,linear_regression,线性回归,0.1422033337099564,9,0.07975384615384616,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002699,-0.0579,0.1952135147817926,1,linear_regression,线性回归,0.1409691129082099,10,0.06701538461538462,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,603003,-0.1089,0.0333176912247771,1,linear_regression,线性回归,0.1398356927385719,11,0.05538461538461539,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,300533,-0.0053,0.3019709056780854,1,linear_regression,线性回归,0.1378624241999257,12,0.04486153846153847,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,600780,0.019,0.335523228531206,1,linear_regression,线性回归,0.1372672776646883,13,0.03544615384615385,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,603086,0.4536,0.4868606288127639,1,linear_regression,线性回归,0.1364033810122095,14,0.027138461538461542,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,600565,-0.0345,0.2450727358047865,1,linear_regression,线性回归,0.1351119930477531,15,0.01993846153846154,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,000726,0.0406,0.3606288127639605,1,linear_regression,线性回归,0.1325782908344883,16,0.013846153846153848,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,000543,0.1228,0.4222196152041295,1,linear_regression,线性回归,0.1316847938446109,17,0.008861538461538462,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,605088,0.1231,0.4225715626466447,1,linear_regression,线性回归,0.1311419264323716,18,0.004984615384615385,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,002661,-0.015,0.2866025340215861,1,linear_regression,线性回归,0.1311184996997279,19,0.0022153846153846156,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
2022-06-30,003042,-0.1478,-0.112740497419052,0,linear_regression,线性回归,0.1309361233054046,20,0.0005538461538461539,20,rank_pw,2.0,0.08,0.6585846153846155,Validation_Selected
